	Processed	Execution-Time	Reported-Processing-Time	Correctly-Processed	Correctly-Processed-Time	Timeout	Execution-Error	Reported-Error	Unexpected	Not-Processed
ore2014/chebi.owl	true	74787	45786	true	45786	false	false	false	false	false
ore2014/ma.owl	true	1217	472	true	472	false	false	false	false	false
ore2014/doid.owl	true	3346	454	true	454	false	false	false	false	false
