	Console-Output
ore2014/chebi.owl	Started classification on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/chebi.owl<br>Operation time: 6301<br>Completed classification on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/chebi.owl<br>
ore2014/ma.owl	Started classification on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/ma.owl<br>Operation time: 210<br>Completed classification on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/ma.owl<br>
ore2014/doid.owl	Started classification on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/doid.owl<br>Operation time: 559<br>Completed classification on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/doid.owl<br>
