	Console-Output
ore2014/chebi.owl	Started classification on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/chebi.owl<br>Operation time: 26981<br>Completed classification on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/chebi.owl<br>
ore2014/ma.owl	Started classification on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/ma.owl<br>Operation time: 591<br>Completed classification on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/ma.owl<br>
ore2014/doid.owl	Started classification on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/doid.owl<br>Operation time: 1377<br>Completed classification on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/doid.owl<br>
