,HermiT,Chainsaw,MORe,ELK,Pellet,FaCT++,TrOWL
ore2014/chebi.owl,false,false,false,false,true,false,false
ore2014/ma.owl,false,false,false,false,false,false,false
ore2014/doid.owl,false,true,false,false,false,false,false
