,HermiT,Chainsaw,MORe,ELK,Pellet,FaCT++,TrOWL
ore2014/chebi.owl,true,false,true,true,false,true,true
ore2014/ma.owl,true,true,true,true,true,true,true
ore2014/doid.owl,true,false,true,true,true,true,true
