	HermiT	Chainsaw	MORe	Pellet	FaCT++
ore2014/cl_w_imports.owl	27811	301261	24722	301036	301021
ore2014/hp_merged.owl	301440	308450	301976	301140	301485
ore2014/gfo.owl	1256	948	1893	901	531
ore2014/biotop.owl	97695	86717	70404	301065	20306
ore2014/uberon.owl	301093	301090	301061	301144	301244
ore2014/bfo.owl	1188	797	1856	897	604
ore2014/go.owl	146514	301078	140594	301070	146429
ore2014/bspo.owl	744	737	1705	1509	610
