	HermiT	Chainsaw	MORe	Pellet	FaCT++
ore2014/cl_w_imports.owl	true	true	true	true	true
ore2014/hp_merged.owl	true	true	true	true	true
ore2014/gfo.owl	true	true	true	true	true
ore2014/biotop.owl	true	true	true	true	true
ore2014/uberon.owl	true	true	true	true	true
ore2014/bfo.owl	true	true	true	true	true
ore2014/go.owl	true	true	true	true	true
ore2014/bspo.owl	true	true	true	true	true
