,Processed,Execution-Time,Reported-Processing-Time,Correctly-Processed,Correctly-Processed-Time,Timeout,Execution-Error,Reported-Error,Unexpected,Not-Processed
ore2014/cl_w_imports.owl,true,301036,0,false,0,true,false,false,false,false
ore2014/hp_merged.owl,true,301140,0,false,0,true,false,false,false,false
ore2014/gfo.owl,true,901,311,true,311,false,false,false,false,false
ore2014/biotop.owl,true,301065,0,false,0,true,false,false,false,false
ore2014/uberon.owl,true,301144,0,false,0,true,false,false,false,false
ore2014/bfo.owl,true,897,269,true,269,false,false,false,false,false
ore2014/go.owl,true,301070,0,false,0,true,false,false,false,false
ore2014/bspo.owl,true,1509,911,true,911,false,false,false,false,false
