,Processed,Execution-Time,Reported-Processing-Time,Correctly-Processed,Correctly-Processed-Time,Timeout,Execution-Error,Reported-Error,Unexpected,Not-Processed
ore2014/cl_w_imports.owl,true,301261,0,false,0,true,false,false,false,false
ore2014/hp_merged.owl,true,308450,0,false,0,false,true,false,false,false
ore2014/gfo.owl,true,948,281,true,281,false,false,false,false,false
ore2014/biotop.owl,true,86717,85937,true,85937,false,false,false,false,false
ore2014/uberon.owl,true,301090,0,false,0,true,false,false,false,false
ore2014/bfo.owl,true,797,217,true,217,false,false,false,false,false
ore2014/go.owl,true,301078,0,false,0,true,false,false,false,false
ore2014/bspo.owl,true,737,0,false,0,false,true,true,false,false
