,HermiT,Chainsaw,MORe,Pellet,FaCT++
ore2014/cl_w_imports.owl,26357,0,23068,0,0
ore2014/hp_merged.owl,0,0,0,0,0
ore2014/gfo.owl,305,281,1118,311,38
ore2014/biotop.owl,97102,85937,69457,0,19724
ore2014/uberon.owl,0,0,0,0,0
ore2014/bfo.owl,563,217,1013,269,36
ore2014/go.owl,134188,0,127555,0,0
ore2014/bspo.owl,213,0,920,911,85
