	Console-Output
ore2014/hp_merged.owl	Started consistency on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/hp_merged.owl<br>Operation time: 6106<br>Completed consistency on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/hp_merged.owl<br>
ore2014/biotop.owl	Started consistency on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/biotop.owl<br>Operation time: 326<br>Completed consistency on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/biotop.owl<br>
ore2014/cl_w_imports.owl	Started consistency on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/cl_w_imports.owl<br>Operation time: 743<br>Completed consistency on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/cl_w_imports.owl<br>
ore2014/uberon.owl	Started consistency on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/uberon.owl<br>Operation time: 2739<br>Completed consistency on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/uberon.owl<br>
ore2014/gfo.owl	Started consistency on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/gfo.owl<br>Operation time: 152<br>Completed consistency on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/gfo.owl<br>
ore2014/bfo.owl	Started consistency on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/bfo.owl<br>Operation time: 253<br>Completed consistency on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/bfo.owl<br>
ore2014/go.owl	Started consistency on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/go.owl<br>Operation time: 6284<br>Completed consistency on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/go.owl<br>
ore2014/bspo.owl	Started consistency on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/bspo.owl<br>Operation time: 142<br>Completed consistency on /home/oswoboda/Dokumente/SemanticWeb/framework/data/ontologies/ore2014/bspo.owl<br>
