,HermiT,Chainsaw,MORe,ELK,Pellet,FaCT++,TrOWL
ore2014/chebi.owl,1885,1817,6112,1854,8100,1393,6492
ore2014/ma.owl,228,104,1123,275,286,100,174
ore2014/doid.owl,235,263,1858,731,785,133,452
