,HermiT,Chainsaw,MORe,ELK,Pellet,FaCT++,TrOWL
ore2014/chebi.owl,true,true,true,true,true,true,true
ore2014/ma.owl,true,true,true,true,true,true,true
ore2014/doid.owl,true,true,true,true,true,true,true
