,Processed,Execution-Time,Reported-Processing-Time,Correctly-Processed,Correctly-Processed-Time,Timeout,Execution-Error,Reported-Error,Unexpected,Not-Processed
ore2014/chebi.owl,true,42360,8100,true,8100,false,false,false,false,false
ore2014/ma.owl,true,1050,286,true,286,false,false,false,false,false
ore2014/doid.owl,true,3514,785,true,785,false,false,false,false,false
