Reasoner,Rank,Correctly-Processed-Count,Correctly-Processed-Accumulated-Time,Correctly-Processed-Average-Time,Total-Processed-Count,Total-Execution-Accumulated-Time,Total-Execution-Average-Time,Timeout-Count,Execution-Error-Count,Reported-Error-Count,Unexpected-Count,Not-Processed-Count
FaCT++,1,3,1626,542.0,3,38745,12915.0,0,0,0,0,0
Chainsaw,2,3,2184,728.0,3,37431,12477.0,0,0,0,0,0
HermiT,3,3,2348,782.6666666666666,3,43697,14565.666666666666,0,0,0,0,0
ELK,4,3,2860,953.3333333333334,3,39545,13181.666666666666,0,0,0,0,0
TrOWL,5,3,7118,2372.6666666666665,3,44073,14691.0,0,0,0,0,0
MORe,6,3,9093,3031.0,3,43721,14573.666666666666,0,0,0,0,0
Pellet,7,3,9171,3057.0,3,46924,15641.333333333334,0,0,0,0,0
