,HermiT,Chainsaw,MORe,ELK,Pellet,FaCT++,TrOWL
ore2014/chebi.owl,39277,33511,36830,35191,42360,35020,39700
ore2014/ma.owl,985,830,2096,981,1050,820,890
ore2014/doid.owl,3435,3090,4795,3373,3514,2905,3483
