Type	Value
Correctly-Processed-Count	5
Correctly-Processed-Accumulated-Time	1209
Correctly-Processed-Average-Time	241.8
Total-Processed-Count	10
Total-Execution-Accumulated-Time	1215019
Total-Execution-Average-Time	121501.9
Timeout-Count	4
Execution-Error-Count	0
Reported-Error-Count	0
Unexpected-Count	1
Not-Processed-Count	0
