,Processed,Execution-Time,Reported-Processing-Time,Correctly-Processed,Correctly-Processed-Time,Timeout,Execution-Error,Reported-Error,Unexpected,Not-Processed
ore2014/uberon.owl,true,6821,286,true,286,false,false,false,false,false
ore2014/gfo.owl,true,700,9,false,0,false,false,false,true,false
